index,lights,street_inf,bikes,landmarks,memorials,trees,transport_stops,bus-stops,tram-stops,metro-stations,taxi-ranks,big-car-parks,buildings_2010,buildings_2011,buildings_2012,buildings_2013,buildings_2014,buildings_2015,buildings_2016,buildings_2017,buildings_2018,buildings_2019,buildings_2020,avg_n_floors_2010,avg_n_floors_2011,avg_n_floors_2012,avg_n_floors_2013,avg_n_floors_2014,avg_n_floors_2015,avg_n_floors_2016,avg_n_floors_2017,avg_n_floors_2018,avg_n_floors_2019,avg_n_floors_2020,sensor_id
33,129,828,1,8,13,1222,4,0,3,1,5,3,123,123,123,123,123,122,122,122,122,121,118,7.479674796747967,7.5528455284552845,7.5528455284552845,7.609756097560975,7.609756097560975,8.221311475409836,8.221311475409836,8.631147540983607,8.631147540983607,8.669421487603305,8.330508474576272,33
34,286,812,1,6,9,1345,5,0,4,1,5,4,120,120,120,120,120,119,119,119,119,119,115,7.725,7.858333333333333,7.858333333333333,7.908333333333333,7.908333333333333,8.53781512605042,8.53781512605042,8.983193277310924,8.983193277310924,8.983193277310924,8.71304347826087,34
35,389,1004,4,13,4,702,12,8,3,1,4,4,119,119,119,119,119,118,118,120,117,113,114,9.655462184873949,9.899159663865547,9.899159663865547,10.268907563025211,10.294117647058824,10.635593220338983,10.669491525423728,10.683333333333334,10.88888888888889,12.070796460176991,11.859649122807017,35
36,116,1217,1,3,4,529,23,21,2,0,14,2,302,302,303,300,300,300,299,299,299,302,299,8.774834437086092,8.778145695364238,8.768976897689768,8.693333333333333,8.703333333333333,8.706666666666667,8.729096989966555,8.632107023411372,8.615384615384615,8.880794701986755,8.872909698996656,36
37,97,528,2,7,4,1040,15,15,0,0,1,9,280,280,278,278,278,278,280,280,278,277,277,2.6535714285714285,2.657142857142857,2.697841726618705,2.697841726618705,2.8776978417266186,2.8776978417266186,2.8892857142857142,2.8892857142857142,3.0,3.0072202166064983,3.151624548736462,37
38,283,1320,1,19,11,470,7,3,3,1,11,8,194,195,191,191,191,191,191,191,188,187,188,7.22680412371134,7.246153846153846,7.31413612565445,7.303664921465969,7.476439790575916,7.544502617801047,7.539267015706806,7.633507853403142,7.712765957446808,7.74331550802139,7.723404255319149,38
39,443,1407,2,16,23,635,4,0,3,1,17,9,352,352,349,349,349,348,348,349,349,351,350,6.0227272727272725,6.190340909090909,6.197707736389685,6.214899713467049,6.306590257879656,6.517241379310345,6.5344827586206895,6.724928366762177,6.724928366762177,6.695156695156695,6.54,39
40,212,946,1,18,9,813,5,0,4,1,9,5,182,180,179,179,179,180,180,180,180,185,187,5.78021978021978,6.0055555555555555,6.033519553072626,6.06145251396648,6.06145251396648,6.183333333333334,6.183333333333334,6.183333333333334,6.183333333333334,6.427027027027027,6.44385026737968,40
41,274,1520,1,20,16,437,7,3,3,1,15,9,224,225,220,220,220,220,220,220,217,216,217,7.397321428571429,7.417777777777777,7.513636363636364,7.504545454545455,7.654545454545454,7.713636363636364,7.745454545454545,7.827272727272727,7.8986175115207375,7.925925925925926,7.907834101382488,41
42,98,760,2,8,4,829,11,11,0,0,1,3,192,192,192,192,194,194,195,195,193,194,195,2.671875,2.671875,2.6666666666666665,2.6666666666666665,2.7422680412371134,2.7422680412371134,2.758974358974359,2.758974358974359,2.766839378238342,2.766839378238342,2.829896907216495,42
