,sensor_id,Name,sensor_name,installation_date,status,note,Latitude,Longitude,location,Note,Location_Type,Status
97,161,Birrarung Marr - COM - Pole 1109,BirArt1109_T,2024-06-04,,,-37.81851276,144.97131336,"(-37.81851276, 144.97131336)",,Outdoor,A
119,93,East Melbourne Library,EastLib_T,2013-02-02,,,-37.81498411,144.98638807,"(-37.81498411, 144.98638807)",,Indoor,A
120,95,Fitzroy Garden Visitor Centre External,FitGarExtVisExt_T,2015-03-02,,,-37.81488315,144.97926569,"(-37.81488315, 144.97926569)","Pushbox Upgrade, 30/06/2023",Indoor,A
121,99,Town Hall Visitor Centre,TownVis_T,2020-02-02,,,-37.81462143,144.96623279,"(-37.81462143, 144.96623279)","Pushbox Upgrade, 03/08/2023",Indoor,A
122,102,North Melbourne Library,NtMelLib_T,2018-02-02,,,-37.80340543,144.94977011,"(-37.80340543, 144.94977011)",,Indoor,A
123,106,Kathleen Syme Library Cafe,KatLib3_T,2018-02-02,,,-37.79859459,144.96510921,"(-37.79859459, 144.96510921)",,Indoor,A
124,107,Flagstaff station (East),280Will_T,2022-10-08,,,-37.81246271,144.95690188,"(-37.81246271, 144.95690188)",,Outdoor,A
125,109,La Trobe St- William St (South),LatWill_T,2022-10-08,,,-37.81193681,144.95621105,"(-37.81193681, 144.95621105)",,Outdoor,A
126,132,I-Hub Corner of King Street and Latrobe Street (317-335 King),King335_T,2023-09-25,,,-37.81267639,144.95386444,"(-37.81267639, 144.95386444)",,Outdoor,A
127,134,I-Hub Southern Cross Station - Bourke Street Entrance - North,Spen201_T,2023-09-25,,,-37.81694221,144.95303935,"(-37.81694221, 144.95303935)",,Outdoor,A
128,140,COM Pole 2837 - Boyd Park,Boyd2837_T,2023-11-02,,,-37.82590962,144.96185972,"(-37.82590962, 144.96185972)",,Outdoor,A
129,150,narrm ngarrgu Library - Level 1 Main Stairs B,narrLibL1MB_T,2023-10-23,,,-37.80791198,144.95820087,"(-37.80791198, 144.95820087)",,Indoor,A
130,152,narrm ngarrgu Library - Level 2 - Study Area Lifts 1,narrLibL2S1_T,2023-10-23,,,-37.80776728,144.95843977,"(-37.80776728, 144.95843977)",,Indoor,A
131,154,narrm ngarrgu Library - Level 3 Children's Library Door 1,narrLibL3C1_T,2023-10-23,,,-37.80778437,144.95862772,"(-37.80778437, 144.95862772)",,Indoor,A
132,158,514 Elizebeth Street,Eli514_T,2024-01-29,,,-37.80657467,144.96007044,"(-37.80657467, 144.96007044)",,Indoor,A
